cephalothin | ERROR: DATA NOT FOUND | ERROR
trimethoprim/sulfamethoxazole | Trade names | Bactrim, Cotrim, Septra, others
amikacin | Trade names | Amikin, Amiglyde-V, Arikayce, others
amoxicillin/clavulanate | Trade names | Augmentin, Clavulin, Amoclan, others[1]
ampicillin | Trade names | Principen, others[3]
ampicillin/sulbactam | Trade names | Unasyn
aztreonam | Trade names | Azactam, others
cefazolin | Trade names | Ancef, Cefacidal, other
cefepime | Trade names | Maxipime, Voco
cefotaxime | Trade names | Claforan, others
cefoxitin | Trade names | Mefoxin, Renoxitin, others[1]
ceftazidime | Trade names | Fortaz, Tazicef, others[1]
cefuroxime | Trade names | Zinacef, others
ceftriaxone | Trade names | Rocephin, Epicephin, Wintriaxone, others
tobramycin | Trade names | Nebcin, Tobrex, Tobi, others
ciprofloxacin | Trade names | Cipro, others
ertapenem | Trade names | Invanz
gentamicin | Trade names | Cidomycin, Genticyn, Garamycin, others
imipenem | Trade names | Primaxin, others
levofloxacin | Trade names | Levaquin, others
meropenem | Trade names | Merrem, others
nitrofurantoin | Trade names | Macrobid, others[1]
piperacillin | Trade names | Pipracil
piperacillin/tazobactam | Trade names | Tazocin, Zosyn, others[1]
tetracycline | Trade names | Tetracyn
tigecycline | Trade names | Tygacil
minocycline | Trade names | Minocin, others
vancomycin | Trade names | Vancocin, others[3]
rifampin | Trade names | Rifadin, others
penicillin | ERROR: DATA NOT FOUND | ERROR
oxacillin | Trade names | Bactocill
clindamycin | Trade names | Cleocin, Clinacin, Dalacin, others
moxifloxacin | Trade names | Avelox, Vigamox, Moxiflox, others
linezolid | Trade names | Zyvox, Zyvoxam, others
erythromycin | Trade names | Eryc, Erythrocin, others[1]
quinupristin/dalfopristin | ERROR: DATA NOT FOUND | ERROR
voriconazole | Trade names | Vfend, others
fluconazole | Trade names | Diflucan, others
daptomycin | Trade names | Cubicin, Cubicin RF, Dapzura RT
beta/lactamase | ERROR: DATA NOT FOUND | ERROR
streptomycin | ERROR: DATA NOT FOUND | ERROR
doxycycline | Trade names | Vibramycin, others
chloramphenicol | Trade names | Chloromycetin, Abeed, others[1]
fosfomycin | Trade names | Monuril, Monurol, Ivozfo, others
caspofungin | Trade names | Cancidas
posaconazole | Trade names | Noxafil, Posanol, others
micafungin | Trade names | Mycamine
itraconazole | Trade names | Sporanox, Sporaz, Orungal, others
flucytosine | Trade names | Ancobon, Ancotil, others
amphotericin/B | ERROR: DATA NOT FOUND | ERROR
anidulafungin | Trade names | Eraxis, others
colistin | Trade names | Xylistin, Coly-Mycin M, Colobreathe, others
ceftaroline | Trade names | Teflaro, Zinforo
eravacycline | ERROR: DATA NOT FOUND | ERROR
meropenem/vaborbactam | Trade names | Vabomere, Vaborem, others
ceftazidime/avibactam | Trade names | Avycaz, Zavicefta, others[1]
cefiderocol | Trade names | Fetroja, Fetcroja
trimethoprim | Trade names | Proloprim, Monotrim, Triprim, others
ceftolozane/tazobactam | Trade names | Zerbaxa
clarithromycin | Trade names | Biaxin, Klav, etc.
cefpodoxime | Trade names | Vantin, others
cefixime | Trade names | Suprax, others[1]
clofazimine | Trade names | Lamprene
ticarcillin | ERROR: DATA NOT FOUND | ERROR
azithromycin | Trade names | Sumamed, Hemomicin, Zithromax, others[1]
penicillin/binding/protein/2a | ERROR: DATA NOT FOUND | ERROR
extended/spectrum/beta/lactamase | ERROR: DATA NOT FOUND | ERROR
sulfamethoxazole | Trade names | Gantanol
cefotetan | ERROR: DATA NOT FOUND | ERROR
isavuconazole | Trade names | Cresemba
carbapenemase/other | ERROR: DATA NOT FOUND | ERROR
imipenem/relebactam | ERROR: DATA NOT FOUND | ERROR
inducible/clindamycin/resistance | ERROR: DATA NOT FOUND | ERROR
pyrazinamide | Trade names | Rifater, Tebrazid, others[1]
ethambutol | Trade names | Myambutol, Etibi,[1] Servambutol, others
isoniazid | Trade names | Hydra, Hyzyd, Isovit, others
cycloserine | Trade names | Seromycin
ethionamide | Trade names | Trecator, others
kanamycin | ERROR: DATA NOT FOUND | ERROR
capreomycin | Trade names | Capastat
carbapenemase/ndm | ERROR: DATA NOT FOUND | ERROR
carbapenemase/vim | ERROR: DATA NOT FOUND | ERROR
carbapenemase/imp | ERROR: DATA NOT FOUND | ERROR
carbapenemase/kpc | ERROR: DATA NOT FOUND | ERROR
carbapenemase/oxa | ERROR: DATA NOT FOUND | ERROR
terbinafine | Trade names | Lamisil, others
rifabutin | Trade names | Mycobutin[1]
ofloxacin | Trade names | Floxin, Ocuflox, others
cefaclor | Trade names | Biocef, Ceclor, Medacef, Distaclor, Keflor, Raniclor
spectinomycin | Trade names | Trobicin
ethambutol/rifampin | ERROR: DATA NOT FOUND | ERROR
telavancin | Trade names | Vibativ
amoxicillin | Trade names | Amoxil, Trimox, others[1]
rezafungin | Trade names | Rezzayo
metronidazole | Trade names | Flagyl, Metrogyl
doripenem | Trade names | Finibax, Doribax
plazomicin | Trade names | Zemdri
omadacycline | Trade names | Nuzyra
delafloxacin | Trade names | Baxdela, others
sulbactam/durlobactam | Trade names | Xacduro
aztreonam/avibactam | Trade names | Emblaveo
ceftazidime/clavulanate | ERROR: DATA NOT FOUND | ERROR
cefotaxime/clavulanate | ERROR: DATA NOT FOUND | ERROR
miconazole | Trade names | Monistat, others
terconazole | Trade names | Terazol
bedaquiline | Trade names | Sirturo
ketoconazole | Trade names | Nizoral, others
polymyxin/B | ERROR: DATA NOT FOUND | ERROR
meropenem/imipenem | ERROR: DATA NOT FOUND | ERROR
nystatin | Trade names | Mycostatin, others[1]
griseofulvin | Trade names | Gris-peg, Grifulvin V, others
natamycin | Trade names | Natacyn, others
clotrimazole | Trade names | Lotrimin, others
nalidixic/acid | ERROR: DATA NOT FOUND | ERROR
ceftizoxime | Trade names | Cefizox
cefoperazone | ERROR: DATA NOT FOUND | ERROR
fusidic/acid | ERROR: DATA NOT FOUND | ERROR
azlocillin | Trade names | Securopen
bacitracin | Trade names | Baciguent, Baciim, others
carbenicillin | Trade names | Geocillin; Pyopen
cefamandole | Trade names | former Mandol
