Drug Name|Trade Names|Other Names
cephalothin|[]|[]
trimethoprim_sulfamethoxazole|['bactrim', 'cotrim', 'septra']|['tmp/smx', 'co-trimoxazole']
amikacin|['amikin', 'amiglyde-v', 'arikayce']|[]
amoxicillin_clavulanate|['augmentin', 'clavulin', 'amoclan']|['co-amoxiclav', 'amox-clav']
ampicillin|['principen']|['am/amp']
ampicillin_sulbactam|['unasyn']|[]
aztreonam|['azactam']|[]
cefazolin|['ancef', 'cefacidal']|[]
cefepime|['maxipime', 'voco']|[]
cefotaxime|['claforan']|['cefotaxime sodium']
cefoxitin|['mefoxin', 'renoxitin']|[]
ceftazidime|['fortaz', 'tazicef']|[]
cefuroxime|['zinacef']|[]
ceftriaxone|['rocephin', 'epicephin', 'wintriaxone']|[]
tobramycin|['nebcin', 'tobrex', 'tobi']|[]
ciprofloxacin|['cipro']|[]
ertapenem|['invanz']|[]
gentamicin|['cidomycin', 'genticyn', 'garamycin']|[]
imipenem|['primaxin']|[]
levofloxacin|['levaquin']|[]
meropenem|['merrem']|[]
nitrofurantoin|['macrobid']|[]
piperacillin|['pipracil']|[]
piperacillin_tazobactam|['tazocin', 'zosyn']|[]
tetracycline|['tetracyn']|[]
tigecycline|['tygacil']|[]
minocycline|['minocin']|[]
vancomycin|['vancocin']|[]
rifampin|['rifadin']|['rifampin']
penicillin|[]|[]
oxacillin|['bactocill']|[]
clindamycin|['cleocin', 'clinacin', 'dalacin']|['dare-bv1']
moxifloxacin|['avelox', 'vigamox', 'moxiflox']|['moxifloxacine']
linezolid|['zyvox', 'zyvoxam']|[]
erythromycin|['eryc', 'erythrocin']|[]
quinupristin_dalfopristin|[]|[]
voriconazole|['vfend']|[]
fluconazole|['diflucan']|[]
daptomycin|['cubicin', 'cubicin rf', 'dapzura rt']|['ly 146032']
streptomycin|[]|['s/str/sts']
doxycycline|['vibramycin', 'doryx']|[]
chloramphenicol|['chloromycetin', 'abeed']|['c/chl/cl']
fosfomycin|['monuril', 'monurol', 'ivozfo']|['phosphomycin', 'phosphonomycin', 'fosfomycin tromethamine']
caspofungin|['cancidas']|[]
posaconazole|['noxafil', 'posanol']|[]
micafungin|['mycamine']|[]
itraconazole|['sporanox', 'sporaz', 'orungal']|['itz']
flucytosine|['ancobon', 'ancotil']|[]
anidulafungin|['eraxis']|['ly303366']
ceftaroline|['teflaro', 'zinforo']|['ppi 0903', 'tak-599']
eravacycline|[]|[]
meropenem_vaborbactam|['vabomere', 'vaborem']|[]
ceftazidime_avibactam|['avycaz', 'zavicefta']|[]
cefiderocol|['fetroja', 'fetcroja']|['rsc-649266']
trimethoprim|['proloprim', 'monotrim', 'triprim']|[]
ceftolozane_tazobactam|['zerbaxa']|[]
clarithromycin|['biaxin', 'klav', 'etc.']|[]
cefpodoxime|['vantin']|['cefpodoxime proxetil']
cefixime|['suprax']|[]
clofazimine|['lamprene']|[]
ticarcillin|[]|[]
azithromycin|['sumamed', 'hemomicin', 'zithromax']|[]
sulfamethoxazole|['gantanol']|[]
cefotetan|[]|[]
isavuconazole|['cresemba']|[]
pyrazinamide|['rifater', 'tebrazid']|[]
ethambutol|['myambutol', 'etibi', 'servambutol']|[]
isoniazid|['hydra', 'hyzyd', 'isovit']|['isonicotinic acid hydrazide', 'isonicotinyl hydrazine', 'inh', 'inah', 'inha']
cycloserine|['seromycin']|[]
ethionamide|['trecator']|[]
kanamycin|[]|['k/kan/hlk/km']
capreomycin|['capastat']|[]
terbinafine|['lamisil']|[]
rifabutin|['mycobutin']|[]
ofloxacin|['floxin', 'ocuflox']|[]
cefaclor|['biocef', 'ceclor', 'medacef', 'distaclor', 'keflor', 'raniclor']|[]
spectinomycin|['trobicin']|['spt/spe/sc/sp']
telavancin|['vibativ']|[]
amoxicillin|['amoxil', 'trimox']|['amoxycillin', 'amox']
rezafungin|['rezzayo']|['biafungin', 'cd101']
metronidazole|['flagyl', 'metrogyl']|[]
doripenem|['finibax', 'doribax']|[]
plazomicin|['zemdri']|['achn-490']
omadacycline|['nuzyra']|['ptk-0796', 'bay 73-6944']
delafloxacin|['baxdela']|['abt-492', 'rx-3341', 'wq-3034']
sulbactam_durlobactam|['xacduro']|[]
aztreonam_avibactam|['emblaveo']|[]
miconazole|['monistat']|[]
terconazole|['terazol']|[]
bedaquiline|['sirturo']|['bedaquiline fumarate', 'tmc207', 'r207910', 'aids222089']
ketoconazole|['nizoral']|['r-41400', 'kw-1414']
nystatin|['mycostatin']|[]
griseofulvin|['gris-peg', 'grifulvin v']|[]
natamycin|['natacyn']|[]
clotrimazole|['lotrimin']|[]
ceftizoxime|['cefizox']|[]
cefoperazone|[]|[]
azlocillin|['securopen']|[]
bacitracin|['baciguent', 'baciim']|[]
