cephalothin | ERROR: DATA NOT FOUND | ERROR
trimethoprim/sulfamethoxazole | Trade names | Bactrim, Cotrim, Septra, others
amikacin | Trade names | Amikin, Amiglyde-V, Arikayce, others
amoxicillin/clavulanate | Trade names | Augmentin, Clavulin, Amoclan, others[1]
ampicillin | Trade names | Principen, others[3]
ampicillin/sulbactam | Trade names | Unasyn
aztreonam | Trade names | Azactam, others
cefazolin | Trade names | Ancef, Cefacidal, other
cefepime | Trade names | Maxipime, Voco
cefotaxime | Trade names | Claforan, others
cefoxitin | Trade names | Mefoxin, Renoxitin, others[1]
ceftazidime | Trade names | Fortaz, Tazicef, others[1]
cefuroxime | Trade names | Zinacef, others
ceftriaxone | Trade names | Rocephin, Epicephin, Wintriaxone, others
tobramycin | Trade names | Nebcin, Tobrex, Tobi, others
ciprofloxacin | Trade names | Cipro, others
ertapenem | Trade names | Invanz
gentamicin | Trade names | Cidomycin, Genticyn, Garamycin, others
imipenem | Trade names | Primaxin, others
levofloxacin | Trade names | Levaquin, others
meropenem | Trade names | Merrem, others
nitrofurantoin | Trade names | Macrobid, others[1]
piperacillin | Trade names | Pipracil
piperacillin/tazobactam | Trade names | Tazocin, Zosyn, others[1]
tetracycline | Trade names | Tetracyn
tigecycline | Trade names | Tygacil
minocycline | Trade names | Minocin, others
vancomycin | Trade names | Vancocin, others[3]
rifampin | Trade names | Rifadin, others
penicillin | ERROR: DATA NOT FOUND | ERROR
oxacillin | Trade names | Bactocill
clindamycin | Trade names | Cleocin, Clinacin, Dalacin, others
moxifloxacin | Trade names | Avelox, Vigamox, Moxiflox, others
linezolid | Trade names | Zyvox, Zyvoxam, others
erythromycin | Trade names | Eryc, Erythrocin, others[1]
quinupristin/dalfopristin | ERROR: DATA NOT FOUND | ERROR
voriconazole | Trade names | Vfend, others
fluconazole | Trade names | Diflucan, others
daptomycin | Trade names | Cubicin, Cubicin RF, Dapzura RT
